hour,hour_bef_temperature,hour_bef_precipitation,hour_bef_windspeed,hour_bef_humidity,hour_bef_visibility,hour_bef_ozone,hour_bef_pm10,hour_bef_pm2.5,count
14,28.4,0.0,1.9,20.0,1346.0,0.082,78.0,38.0,179
1,14.1,0.0,2.0,41.0,2000.0,,,,29
17,14.6,1.0,2.7,84.0,1645.0,0.044,21.0,14.0,93
2,5.1,0.0,1.3,77.0,2000.0,0.018,16.0,,29
1,9.4,0.0,2.5,65.0,1907.0,,,,39
19,20.7,0.0,4.3,19.0,2000.0,0.054,51.0,13.0,165
1,14.4,0.0,2.6,41.0,2000.0,,,,52
2,10.3,0.0,0.3,76.0,798.0,0.004,83.0,38.0,32
14,26.4,0.0,2.1,28.0,1731.0,0.045,59.0,34.0,149
20,16.9,0.0,3.5,64.0,754.0,0.03,68.0,53.0,124
19,27.2,0.0,4.1,44.0,2000.0,0.067,47.0,32.0,331
6,14.9,0.0,0.9,51.0,1308.0,0.032,62.0,37.0,34
3,12.1,0.0,3.2,85.0,679.0,0.043,54.0,21.0,17
5,13.4,0.0,0.3,86.0,218.0,0.054,107.0,60.0,10
3,7.9,0.0,1.7,73.0,1827.0,0.034,52.0,21.0,14
8,19.0,0.0,1.4,75.0,537.0,0.049,55.0,33.0,222
13,21.6,0.0,3.5,34.0,990.0,0.037,78.0,40.0,184
18,27.7,0.0,2.8,35.0,1712.0,0.08,59.0,36.0,425
18,23.2,0.0,1.3,35.0,1954.0,0.061,52.0,34.0,247
6,13.2,0.0,1.1,48.0,1897.0,0.008,47.0,35.0,23
4,8.7,0.0,1.0,66.0,1802.0,0.044,46.0,18.0,8
0,19.7,0.0,3.4,76.0,749.0,0.065,48.0,31.0,100
2,12.4,0.0,3.5,42.0,1448.0,0.063,73.0,47.0,25
17,19.6,0.0,4.0,37.0,2000.0,0.054,22.0,20.0,247
15,18.1,0.0,1.8,31.0,1865.0,0.029,67.0,24.0,98
18,20.8,0.0,3.9,48.0,1966.0,0.045,41.0,21.0,327
5,9.2,0.0,1.8,53.0,2000.0,0.036,31.0,18.0,8
7,13.9,0.0,0.7,54.0,2000.0,0.006,42.0,26.0,106
15,22.2,0.0,3.4,27.0,2000.0,0.05,22.0,10.0,152
21,20.4,0.0,0.1,39.0,2000.0,0.042,60.0,32.0,170
15,23.3,0.0,3.4,58.0,1818.0,0.036,32.0,22.0,110
0,18.4,0.0,2.3,44.0,2000.0,0.037,26.0,21.0,128
16,18.7,0.0,4.9,36.0,1036.0,0.048,197.0,22.0,74
11,15.6,0.0,2.7,49.0,1345.0,0.016,85.0,38.0,99
8,12.5,0.0,1.6,48.0,1521.0,0.033,102.0,30.0,171
7,16.0,0.0,0.6,75.0,1159.0,0.032,27.0,18.0,117
4,18.9,0.0,1.7,80.0,459.0,0.04,70.0,41.0,13
18,23.1,0.0,2.6,31.0,2000.0,0.039,29.0,15.0,402
10,20.8,0.0,1.8,45.0,1988.0,0.03,53.0,21.0,94
13,27.1,0.0,2.3,48.0,761.0,0.064,75.0,47.0,86
1,11.3,1.0,4.3,88.0,295.0,,,,24
16,15.1,0.0,4.2,26.0,1438.0,0.066,59.0,55.0,222
12,19.5,0.0,1.5,53.0,1684.0,0.03,40.0,17.0,124
12,23.7,0.0,2.6,36.0,1534.0,0.045,53.0,30.0,125
7,8.9,0.0,0.2,75.0,642.0,0.033,66.0,36.0,19
15,21.9,0.0,5.4,21.0,1907.0,0.062,92.0,19.0,139
5,11.9,0.0,0.6,41.0,879.0,0.032,66.0,60.0,10
20,10.4,0.0,1.7,84.0,1337.0,0.018,27.0,27.0,86
0,19.2,0.0,1.6,62.0,1976.0,0.033,35.0,29.0,75
9,9.8,0.0,3.3,58.0,1263.0,0.01,107.0,21.0,124
4,12.8,0.0,1.9,76.0,407.0,0.036,68.0,42.0,15
1,15.1,0.0,1.6,79.0,338.0,,,,46
21,13.1,0.0,2.7,60.0,1582.0,0.025,76.0,28.0,121
1,15.5,0.0,5.4,48.0,540.0,,,,40
1,13.4,0.0,1.9,69.0,2000.0,,,,34
20,19.6,0.0,1.7,66.0,1142.0,0.053,54.0,33.0,171
4,18.9,0.0,2.3,60.0,1588.0,0.033,61.0,29.0,14
9,18.3,0.0,0.7,49.0,1926.0,0.022,44.0,24.0,64
3,8.9,0.0,1.4,62.0,1994.0,0.041,46.0,18.0,23
9,12.2,0.0,1.9,42.0,1946.0,0.01,41.0,26.0,106
3,14.3,0.0,1.4,38.0,2000.0,0.004,50.0,35.0,19
2,17.1,0.0,1.7,57.0,2000.0,0.02,46.0,29.0,70
3,17.6,0.0,1.3,69.0,2000.0,0.003,32.0,22.0,34
6,18.7,0.0,1.0,72.0,634.0,,,,53
14,19.5,0.0,4.2,38.0,2000.0,0.053,18.0,14.0,224
11,13.7,0.0,3.8,36.0,1789.0,0.034,100.0,24.0,73
7,15.5,0.0,1.1,66.0,1211.0,0.022,55.0,36.0,32
9,19.2,0.0,1.6,50.0,789.0,0.027,50.0,29.0,115
18,27.5,0.0,3.8,47.0,1507.0,0.083,64.0,40.0,398
19,24.1,0.0,4.2,34.0,2000.0,0.051,36.0,16.0,278
16,13.0,0.0,3.7,74.0,1888.0,,34.0,16.0,29
23,17.7,0.0,1.1,92.0,418.0,0.009,34.0,27.0,42
0,15.4,0.0,2.4,41.0,2000.0,0.035,26.0,11.0,80
4,18.5,0.0,1.2,80.0,724.0,0.061,43.0,27.0,13
4,16.5,0.0,0.9,64.0,1014.0,0.049,48.0,36.0,20
8,14.2,0.0,2.1,75.0,768.0,0.013,51.0,25.0,226
21,25.6,0.0,2.7,11.0,2000.0,0.038,18.0,11.0,278
7,3.1,0.0,0.4,83.0,839.0,0.005,34.0,31.0,14
4,18.0,0.0,1.7,66.0,1998.0,0.011,30.0,23.0,11
13,15.7,0.0,3.3,37.0,526.0,0.047,105.0,90.0,75
17,27.4,0.0,2.8,21.0,2000.0,0.058,24.0,12.0,317
6,4.9,0.0,1.5,67.0,746.0,0.04,67.0,63.0,24
10,14.4,0.0,2.1,49.0,1581.0,0.025,49.0,25.0,82
12,13.3,0.0,2.1,42.0,1909.0,0.013,87.0,29.0,82
3,13.7,0.0,2.0,80.0,1034.0,0.026,35.0,18.0,12
3,16.1,0.0,2.9,83.0,400.0,0.051,60.0,35.0,46
4,10.5,0.0,1.2,74.0,739.0,0.03,70.0,32.0,9
23,9.9,0.0,3.3,69.0,1974.0,0.037,45.0,17.0,70
10,21.1,0.0,1.1,66.0,535.0,0.057,64.0,41.0,95
20,14.0,0.0,4.3,44.0,2000.0,0.043,48.0,19.0,150
1,17.7,0.0,1.1,53.0,2000.0,,,,98
19,20.2,0.0,3.0,40.0,928.0,0.058,180.0,40.0,187
5,12.2,0.0,3.0,76.0,407.0,0.033,67.0,40.0,11
8,10.3,0.0,4.3,43.0,2000.0,0.032,34.0,26.0,195
12,15.5,0.0,2.2,25.0,1987.0,0.029,71.0,30.0,113
11,14.9,0.0,2.5,33.0,1928.0,0.023,38.0,20.0,85
0,16.8,0.0,0.6,62.0,2000.0,0.029,35.0,19.0,94
22,21.9,0.0,3.1,65.0,1070.0,0.059,64.0,37.0,216
11,14.7,0.0,3.6,76.0,447.0,0.017,84.0,70.0,86
12,14.7,0.0,2.3,65.0,399.0,0.017,69.0,59.0,101
0,14.9,0.0,2.4,35.0,2000.0,0.034,55.0,20.0,68
21,15.0,0.0,2.7,30.0,2000.0,0.056,33.0,21.0,109
6,16.1,0.0,2.1,73.0,694.0,0.029,41.0,28.0,37
17,22.2,0.0,5.7,18.0,1948.0,0.06,88.0,21.0,158
10,11.7,0.0,1.0,34.0,914.0,0.009,90.0,70.0,65
6,9.5,0.0,0.8,73.0,673.0,0.035,65.0,38.0,15
23,22.2,0.0,2.5,69.0,1629.0,0.014,32.0,25.0,138
19,24.3,0.0,3.9,30.0,2000.0,0.058,28.0,17.0,226
5,6.8,0.0,1.1,81.0,1450.0,0.031,55.0,21.0,8
23,17.8,0.0,2.2,52.0,2000.0,0.023,32.0,19.0,183
16,21.3,0.0,2.3,43.0,951.0,0.057,145.0,43.0,8
12,21.9,0.0,2.6,41.0,1618.0,0.04,46.0,25.0,113
17,18.9,0.0,4.2,55.0,2000.0,0.042,32.0,11.0,161
16,19.3,0.0,2.7,76.0,538.0,0.045,62.0,41.0,109
13,19.5,0.0,3.7,12.0,2000.0,0.046,21.0,14.0,111
9,11.4,0.0,0.7,59.0,1297.0,0.021,45.0,25.0,119
5,14.3,0.0,0.7,50.0,2000.0,0.026,42.0,28.0,11
11,17.4,0.0,2.7,46.0,876.0,0.019,76.0,35.0,111
16,26.1,0.0,3.4,27.0,2000.0,0.057,30.0,20.0,274
12,18.1,0.0,3.5,17.0,1996.0,0.046,34.0,17.0,137
17,19.9,0.0,4.5,34.0,1822.0,0.059,53.0,33.0,154
23,14.3,0.0,2.6,60.0,2000.0,0.044,44.0,15.0,102
3,17.4,0.0,1.0,52.0,2000.0,0.029,38.0,27.0,31
5,11.0,0.0,1.6,84.0,469.0,0.049,61.0,33.0,12
7,5.6,0.0,0.4,79.0,1992.0,0.007,19.0,18.0,20
12,17.6,0.0,1.7,42.0,1712.0,0.034,72.0,28.0,140
15,23.1,0.0,4.3,23.0,1798.0,0.064,54.0,29.0,266
16,17.7,0.0,2.3,32.0,1949.0,0.037,64.0,22.0,118
21,14.2,0.0,3.4,83.0,952.0,0.033,44.0,23.0,120
4,5.7,0.0,0.6,77.0,1960.0,0.028,14.0,18.0,6
19,24.8,0.0,2.9,32.0,1937.0,0.075,52.0,32.0,244
8,11.6,0.0,2.0,37.0,1143.0,0.01,64.0,51.0,35
13,19.3,0.0,3.2,52.0,929.0,0.011,126.0,37.0,148
14,19.1,0.0,2.2,67.0,1181.0,0.042,36.0,25.0,82
9,12.4,0.0,2.0,35.0,1927.0,0.024,43.0,20.0,125
22,11.8,0.0,2.5,53.0,2000.0,0.038,44.0,21.0,147
11,19.9,0.0,1.1,51.0,750.0,0.027,69.0,43.0,106
10,14.7,0.0,1.8,66.0,668.0,0.046,69.0,38.0,66
8,16.6,0.0,0.9,63.0,697.0,0.03,33.0,24.0,208
8,15.6,0.0,2.2,53.0,1036.0,0.028,126.0,32.0,29
23,19.8,0.0,2.2,57.0,2000.0,0.004,32.0,21.0,153
21,14.7,0.0,2.9,46.0,1754.0,0.051,88.0,19.0,88
2,10.8,0.0,1.4,22.0,1998.0,0.038,64.0,19.0,24
23,19.3,0.0,3.7,52.0,812.0,0.058,108.0,64.0,143
21,21.3,0.0,0.8,47.0,715.0,0.092,100.0,56.0,229
14,12.9,0.0,2.8,39.0,2000.0,0.046,19.0,,164
11,20.3,0.0,2.6,56.0,576.0,,,,95
3,16.8,0.0,1.6,40.0,1994.0,0.046,48.0,25.0,30
23,16.6,0.0,0.4,26.0,2000.0,0.004,60.0,32.0,105
3,14.9,0.0,0.7,47.0,2000.0,0.01,40.0,26.0,30
3,14.0,0.0,,50.0,2000.0,0.049,35.0,22.0,17
20,19.2,0.0,2.6,48.0,1999.0,0.056,54.0,31.0,162
6,14.8,0.0,0.9,51.0,1538.0,0.025,51.0,26.0,15
1,18.2,0.0,1.7,51.0,1871.0,,,,53
15,13.4,1.0,3.7,62.0,969.0,0.043,43.0,35.0,2
11,12.5,0.0,3.6,42.0,1104.0,0.006,79.0,62.0,23
13,21.4,0.0,1.8,54.0,737.0,0.032,77.0,28.0,114
6,8.5,0.0,1.5,55.0,2000.0,0.036,31.0,18.0,29
11,21.2,0.0,2.3,45.0,1929.0,0.034,30.0,19.0,115
12,13.8,0.0,2.8,42.0,516.0,0.031,104.0,89.0,82
13,16.6,0.0,3.7,60.0,1328.0,0.043,36.0,25.0,12
10,15.7,0.0,2.7,61.0,1203.0,0.035,42.0,26.0,79
20,16.9,0.0,3.4,63.0,1966.0,0.041,46.0,22.0,185
19,12.7,0.0,3.5,34.0,1250.0,0.065,75.0,62.0,87
12,25.2,0.0,1.7,30.0,1665.0,0.028,60.0,36.0,117
15,12.0,0.0,1.9,76.0,1216.0,0.034,23.0,,63
9,13.4,0.0,3.2,29.0,2000.0,0.033,42.0,23.0,115
1,9.9,0.0,1.6,62.0,1755.0,,,,41
10,16.8,0.0,1.8,62.0,955.0,0.016,55.0,23.0,81
16,27.2,0.0,4.3,31.0,1281.0,0.088,,,246
15,27.4,0.0,1.7,23.0,1661.0,0.076,75.0,33.0,218
7,17.8,0.0,1.2,58.0,2000.0,0.012,30.0,22.0,108
8,8.7,0.0,1.7,50.0,2000.0,0.006,36.0,19.0,201
7,9.6,0.0,0.9,73.0,827.0,0.021,59.0,30.0,16
1,14.1,0.0,1.5,62.0,863.0,,,,44
20,10.2,0.0,2.3,47.0,2000.0,0.047,41.0,29.0,61
11,24.4,0.0,1.9,41.0,1362.0,0.035,48.0,27.0,90
8,11.4,0.0,2.1,82.0,440.0,0.027,74.0,42.0,43
20,18.5,0.0,5.3,21.0,2000.0,0.049,47.0,16.0,130
7,17.7,0.0,0.6,66.0,1996.0,0.006,34.0,28.0,106
18,16.8,0.0,3.6,49.0,1730.0,0.05,71.0,25.0,273
