cmpyCd,cmpyNm,ptrn,mog,prdNm,age,mlInsRt,fmlInsRt,basDt,ofrInstNm
N01,삼성화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),20,3397,2696,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),25,3518,3942,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),30,2812,2624,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),35,4263,3375,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),40,2624,3206,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),45,2629,2450,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),50,3193,1365,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),55,1620,2378,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),60,2189,3035,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),65,2273,1740,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(삼성),70,4172,2630,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),20,3054,1731,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),25,2564,2883,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),30,2079,3081,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),35,2519,2581,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),40,2518,4189,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),45,2989,2006,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),50,3658,1884,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),55,3167,1330,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),60,1937,2947,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),65,3590,2928,20220101,손해보험협회
N01,삼성화재,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(삼성),70,2907,2574,20220101,손해보험협회
