Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2018-01-01 0:00,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 0:15,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 0:30,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 0:45,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 1:00,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 1:15,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,5.01E-05,0,0,0
2018-01-01 1:30,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,1.61E-05,0,0,0
2018-01-01 1:45,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 2:00,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 2:15,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 2:30,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 2:45,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 3:00,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 3:15,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 3:30,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 3:45,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 4:15,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 4:30,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 4:45,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 5:00,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 5:15,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 5:30,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 5:45,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 6:15,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 6:30,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 6:45,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 7:00,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 7:15,0,0,0,0,0,0.004171659,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 7:30,0,0,0,0,0,0.02828629,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 7:45,0.005,0.01,0,0,0.014,0.07243318,0,0.005,0.007,0.01,0.003,0,0,0,0,0.001,0,0,0.004
2018-01-01 8:00,0.094,0.101,0.02,0.075,0.097,0.106,0.063,0.075,0.103,0.101,0.09,0,0.085,0.081,0.06,0.108,0.023,0.059,0.085
2018-01-01 8:15,0.169,0.154,0.101,0.139,0.151,0.159,0.125,0.12,0.164,0.158,0.145,0.058,0.147,0.151,0.109,0.173,0.055,0.102,0.147
2018-01-01 8:30,0.504,0.408,0.384,0.429,0.387,0.363,0.389,0.308,0.428,0.407,0.387,0.177,0.409,0.462,0.324,0.461,0.191,0.289,0.404
2018-01-01 8:45,0.728,0.571,0.571,0.653,0.531,0.514,0.586,0.434,0.601,0.564,0.543,0.323,0.595,0.665,0.463,0.663,0.252,0.411,0.588
2018-01-01 9:00,1.661,1.071,1.211,1.421,0.896,0.33926861,1.228,0.8,1.159,0.973,1.077,0.286,1.193,1.375,0.975,1.286,0.384,0.805,1.034
2018-01-01 9:15,1.19,0.919,0.961,1.095,0.885,0.389780397,0.986,0.695,0.969,0.931,0.899,0.353,0.998,1.102,0.769,1.072,0.396,0.672,0.932
2018-01-01 9:30,1.839,1.201,1.402,1.688,1.22,0.463304591,1.477,0.881,1.328,1.212,1.218,0.605,1.432,1.519,1.137,1.459,0.476,0.902,1.113
2018-01-01 9:45,1.632,1.287,1.356,1.509,1.243,0.533516129,1.376,0.962,1.351,1.28,1.249,0.594,1.379,1.563,1.138,1.485,0.658,0.922,1.304
2018-01-01 10:00,1.359,1.129,1.158,1.273,1.08,0.590581243,1.18,0.858,1.19,1.138,1.092,0.54,1.2,1.344,0.957,1.299,0.477,0.809,1.184
2018-01-01 10:15,1.523,1.29,1.313,1.417,1.228,0.662470729,1.301,0.984,1.36,1.291,1.24,0.537,1.343,1.511,1.074,1.469,0.544,0.917,1.352
2018-01-01 10:30,1.672,1.429,1.447,1.555,1.361,0.791930108,1.441,1.098,1.513,1.43,1.368,0.681,1.483,1.658,1.187,1.621,0.689,1.017,1.496
2018-01-01 10:45,2.12,1.72,1.795,1.94,1.654,0.95907945,1.786,1.302,1.817,1.7,1.653,0.636,1.819,2.055,1.537,1.96,0.66,1.228,1.745
2018-01-01 11:00,2.344,1.893,1.963,2.091,1.823,1.58,1.902,1.432,1.981,1.843,1.805,0.683,1.955,2.259,1.691383641,2.126,0.782,1.336,1.882
2018-01-01 11:15,2.051,1.66,1.75,1.921,1.595,1.471,1.833,1.258,1.781,1.679,1.606,1.07,1.821,2.016,1.800111175,1.925,0.799,1.206,1.689
2018-01-01 11:30,2.212,1.799,1.891,2.059,1.719,1.597,1.962,1.375,1.925,1.82,1.738,1.39,1.958,2.183,1.746809332,2.072,0.79,1.309,1.842
2018-01-01 11:45,1.956,1.707,1.743,1.874,1.618,1.651,1.792,1.331,1.829,1.741,1.65,1.262,1.826,1.976,1.807479839,1.959,0.75,1.236,1.834
2018-01-01 12:00,1.934,1.75,1.749,1.828,1.648,1.457717443,1.721,1.372,1.852,1.782,1.679,0.742,1.805,1.969,1.395,1.982,0.665,1.256,1.893
2018-01-01 12:15,1.958,1.767,1.774,1.864,1.665,1.556665472,1.754,1.386,1.881,1.802,1.699,0.752,1.839,1.996,1.42,2.013,0.67,1.271,1.913
2018-01-01 12:30,1.838,1.674,1.671,1.731,1.578,1.646676225,1.631,1.319,1.775,1.71,1.612,0.708,1.721,1.88,1.322,1.902,0.624,1.202,1.829
2018-01-01 12:45,1.47,1.369,1.353,1.419,1.283,1.706620072,1.339,1.089,1.457,1.409,1.323,0.784,1.422,1.504,1.056,1.568,0.499,0.983,1.515
2018-01-01 13:00,1.184,1.098,1.07,1.102,1.039,1.65960693,1.043,0.87,1.16,1.136,1.062,0.768,1.108,1.205,0.825,1.244,0.473,0.794,1.218
2018-01-01 13:15,1.25,1.184,1.162,1.209,1.104,1.668179211,1.148,0.944,1.259,1.219,1.145,0.552,1.225,1.277,0.891,1.355,0.472,0.848,1.319
2018-01-01 13:30,1.233,1.156,1.142,1.193,1.079,1.719569892,1.136,0.918,1.23,1.195,1.124,0.614,1.202,1.259,0.887,1.33,0.439,0.832,1.295
2018-01-01 13:45,1.165,1.076,1.064,1.109,1.011,1.703853047,1.049,0.846,1.14,1.115,1.048,0.54,1.111,1.192,0.824,1.234,0.381,0.778,1.199
2018-01-01 14:00,1.201,1.123,1.108,1.155,1.052,1.693642174,1.102,0.892,1.194,1.161,1.089,0.564,1.163,1.231,1.628655914,1.288,0.377,0.81,1.251
2018-01-01 14:15,1.038,0.978,0.954,0.996,0.914,1.677322581,0.955,0.776,1.04,1.012,0.949,0.585,1.011,1.062,1.568244325,1.12,0.324,0.705,1.095
2018-01-01 14:30,0.911,0.874,0.849,0.894,0.816,1.647039427,0.858,0.699,0.935,0.896,0.851,0.494,0.912,0.932,1.502339307,1.01,0.293,0.629,0.983
2018-01-01 14:45,1.126,1.077,1.054,1.102,1,1.599028674,1.071,0.863,1.151,1.093,1.038,0.524,1.126,1.149,1.406469534,1.234,0.352,0.771,1.202
2018-01-01 15:00,0.812,0.769,0.743,0.787,0.716,1.48444086,0.766,0.612,0.821,0.798,0.748,0.413,0.808,0.825,0.595,0.887,0.217,0.552,0.867
2018-01-01 15:15,0.497,0.459,0.414,0.441,0.436,1.383291517,0.416,0.359,0.486,0.479,0.442,0.287,0.453,0.481,0.331,0.521,0.166,0.326,0.499
2018-01-01 15:30,0.582,0.551,0.516,0.545,0.515,1.250838112,0.52,0.433,0.584,0.57,0.535,0.315,0.558,0.576,0.407,0.634,0.164,0.39,0.611
2018-01-01 15:45,0.496,0.468,0.428,0.453,0.438,1.142548984,0.433,0.369,0.495,0.484,0.453,0.246,0.467,0.482,0.342,0.537,0.155,0.328,0.515
2018-01-01 16:00,0.518,0.483,0.445,0.466,0.456,1.124678017,0.445,0.375,0.509,0.5,0.466,0.207,0.478,0.51,0.359,0.55,0.15,0.342,0.527
2018-01-01 16:15,0.444,0.426,0.375,0.39,0.414,1.086461768,0.382,0.341,0.46,0.457,0.408,0.224,0.411,0.432,0.301,0.483,0.154,0.31,0.461
2018-01-01 16:30,0.597,0.561,0.519,0.537,0.538,0.954527479,0.545,0.447,0.603,0.603,0.536,0.264,0.563,0.589,0.422,0.636,0.128,0.414,0.609
2018-01-01 16:45,0.154,0.126,0.069,0.113,0.125,0.75038172,0.101,0.092,0.132,0.137,0.122,0.032,0.119,0.124,0.088,0.145,0.013,0.084,0.127
2018-01-01 17:00,0.035,0.033,0,0.01,0.036,0.530793203,0.005,0.019,0.032,0.035,0.026,0,0.017,0.013,0.007,0.029,0,0.013,0.019
2018-01-01 17:15,0,0,0,0,0,0.312133641,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 17:30,0.001,0,0,0,0,0.185909562,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 17:45,0.002,0,0,0,0,0.082625,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 18:00,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010442972,0
2018-01-01 18:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000189516,0
2018-01-01 18:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23E-05,0
2018-01-01 18:45,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 19:00,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 19:15,0.002,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 19:30,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 19:45,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 20:00,0.002,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
2018-01-01 20:15,0.001,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
