time,price
"(0, 0)",29.36
"(0, 1)",51.3725
"(0, 2)",59.3125
"(0, 3)",65.505
"(0, 4)",46.24
"(0, 5)",35.91
"(0, 6)",15.585
"(0, 7)",18.9625
"(0, 8)",20.405
"(0, 9)",20.605
"(0, 10)",16.95
"(0, 11)",19.5875
"(0, 12)",21.5975
"(0, 13)",19.16
"(0, 14)",25.552500000000002
"(0, 15)",12.8975
"(0, 16)",104.5708
"(0, 17)",66.36500000000001
"(0, 18)",74.8652
"(0, 19)",21.955
"(1, 0)",27.525
"(1, 1)",49.915
"(1, 2)",56.215
"(1, 3)",65.425
"(1, 4)",40.8
"(1, 5)",29.305
"(1, 6)",12.75
"(1, 7)",18.947499999999998
"(1, 8)",19.677500000000002
"(1, 9)",16.875
"(1, 10)",19.725
"(1, 11)",22.6
"(1, 12)",20.072499999999998
"(1, 13)",18.927500000000002
"(1, 14)",23.7
"(1, 15)",15.61
"(1, 16)",104.5708
"(1, 17)",63.9
"(1, 18)",57.49
"(1, 19)",19.865000000000002
"(2, 0)",27.2375
"(2, 1)",48.445
"(2, 2)",59.055
"(2, 3)",65.4725
"(2, 4)",38.0175
"(2, 5)",27.7375
"(2, 6)",12.0775
"(2, 7)",18.8825
"(2, 8)",19.225
"(2, 9)",15.4225
"(2, 10)",18.814999999999998
"(2, 11)",24.3125
"(2, 12)",19.9775
"(2, 13)",18.8825
"(2, 14)",22.3175
"(2, 15)",16.0475
"(2, 16)",104.5708
"(2, 17)",66.2175
"(2, 18)",49.5777
"(2, 19)",20.475
"(3, 0)",24.875
"(3, 1)",43.715
"(3, 2)",46.1575
"(3, 3)",55.9775
"(3, 4)",34.485
"(3, 5)",24.44
"(3, 6)",12.442499999999999
"(3, 7)",18.0225
"(3, 8)",18.79
"(3, 9)",14.425
"(3, 10)",18.3275
"(3, 11)",22.585
"(3, 12)",19.63
"(3, 13)",18.195
"(3, 14)",20.415
"(3, 15)",15.865000000000002
"(3, 16)",104.5708
"(3, 17)",86.4554
"(3, 18)",28.17
"(3, 19)",20.1425
"(4, 0)",23.265
"(4, 1)",39.1325
"(4, 2)",36.795
"(4, 3)",51.4475
"(4, 4)",30.78
"(4, 5)",21.73
"(4, 6)",10.7275
"(4, 7)",17.6675
"(4, 8)",18.5075
"(4, 9)",14.1975
"(4, 10)",13.5725
"(4, 11)",19.665
"(4, 12)",19.6625
"(4, 13)",17.255
"(4, 14)",18.98
"(4, 15)",9.7725
"(4, 16)",78.3627
"(4, 17)",40.4625
"(4, 18)",22.8575
