datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da
10/31/2024 11:00:00 PM,1,PJM,,,ZONE,,17.905,17.939268,0.023022,0.011247,23.67,23.624581,-0.111511,0.066092
10/31/2024 10:00:00 PM,1,PJM,,,ZONE,,21.4125,21.44369,0.017098,0.014092,26.34,26.281229,-0.125429,0.066658
10/31/2024 9:00:00 PM,1,PJM,,,ZONE,,24.628333,24.639748,-0.004781,0.016196,29.72,29.606829,-0.179566,0.066395
10/31/2024 8:00:00 PM,1,PJM,,,ZONE,,33.69,33.707978,-0.003934,0.021912,34.37,34.167769,-0.270467,0.068236
10/31/2024 7:00:00 PM,1,PJM,,,ZONE,,21.8025,21.819145,0.002399,0.014246,44.53,44.181643,-0.441626,0.093269
10/31/2024 6:00:00 PM,1,PJM,,,ZONE,,26.15,26.168019,-0.000352,0.018371,53.3,52.88606,-0.56272,0.14878
10/31/2024 5:00:00 PM,1,PJM,,,ZONE,,32.824167,32.873756,0.025244,0.024346,49.07,48.591852,-0.630083,0.151935
10/31/2024 4:00:00 PM,1,PJM,,,ZONE,,27.429167,27.454003,0.003669,0.021167,43.1,42.207055,-0.990395,0.09745
10/31/2024 3:00:00 PM,1,PJM,,,ZONE,,27.870833,27.924429,0.032324,0.021272,37.6,36.885918,-0.770762,0.05668
10/31/2024 2:00:00 PM,1,PJM,,,ZONE,,29.358333,29.393895,0.014031,0.021531,32.84,32.313894,-0.570814,0.044708
10/31/2024 1:00:00 PM,1,PJM,,,ZONE,,25.116667,25.147196,0.011995,0.018534,29.87,29.555744,-0.338745,0.024489
10/31/2024 12:00:00 PM,1,PJM,,,ZONE,,24.383333,24.406698,0.007465,0.0159,27.42,27.204678,-0.230223,0.014901
10/31/2024 11:00:00 AM,1,PJM,,,ZONE,,19.178333,19.194487,0.002613,0.01354,26.12,26.020275,-0.136482,0.036757
10/31/2024 10:00:00 AM,1,PJM,,,ZONE,,21.538333,21.555229,0.003022,0.013874,22.55,22.471752,-0.10264,0.024392
10/31/2024 9:00:00 AM,1,PJM,,,ZONE,,21.195833,21.212783,0.003636,0.013313,22.21,22.142942,-0.096501,0.029443
10/31/2024 8:00:00 AM,1,PJM,,,ZONE,,27.155833,27.176957,0.003283,0.017841,28.04,27.949346,-0.106694,0.01604
10/31/2024 7:00:00 AM,1,PJM,,,ZONE,,33.518333,33.542338,0.004511,0.019494,33.27,33.093202,-0.206416,0.029618
10/31/2024 6:00:00 AM,1,PJM,,,ZONE,,28.135,28.175709,0.017619,0.02309,28.11,27.943222,-0.209543,0.042765
10/31/2024 5:00:00 AM,1,PJM,,,ZONE,,16.415833,16.431112,0.002333,0.012946,18.18,18.130212,-0.087865,0.038077
10/31/2024 4:00:00 AM,1,PJM,,,ZONE,,18.65,18.662462,0,0.012462,15.36,15.318836,-0.064041,0.022877
10/31/2024 3:00:00 AM,1,PJM,,,ZONE,,13.238333,13.255026,0.00759,0.009103,14.23,14.202923,-0.052431,0.025354
10/31/2024 2:00:00 AM,1,PJM,,,ZONE,,12.666667,12.69055,0.015412,0.008471,15.35,15.313875,-0.054089,0.017964
10/31/2024 1:00:00 AM,1,PJM,,,ZONE,,15.254167,15.264681,0,0.010514,16.56,16.55015,-0.053502,0.043652
